channel,snr,mcs,seq_number
pcc_err,0.50,0,4613
pcc_err,0.50,0,4613
pcc_err,0.50,0,4613
pdc,0.50,0,4633
pcc_err,0.50,0,4634
pdc,0.50,0,4637
pcc_err,0.50,0,4638
pdc,0.50,0,4646
pcc_err,0.50,0,4647
pcc_err,0.50,0,4647
pdc,0.50,0,4651
pcc_err,0.50,0,4652
pcc_err,0.50,0,4652
pcc_err,0.50,0,4753
pdc,0.50,0,4759
pcc_err,0.50,0,4760
pcc_err,0.50,0,4760
pcc_err,0.50,0,4789
pdc,0.50,0,4790
pdc,0.50,0,4823
pcc_err,0.50,0,4824
pdc,0.50,0,4835
pcc_err,0.50,0,4839
pcc_err,0.50,0,4839
pdc,0.50,0,4844
pcc_err,0.50,0,4845
pcc_err,0.50,0,4845
pcc_err,0.50,0,4845
pdc,0.50,0,4849
pcc_err,0.50,0,4850
pdc,0.50,0,4858
pdc,0.50,0,4869
pdc,0.50,0,4870
pcc_err,0.50,0,4871
pdc,0.50,0,4898
pcc_err,0.50,0,4899
pcc_err,0.50,0,4899
pcc_err,0.50,0,4899
pdc,0.50,0,4903
pcc_err,0.50,0,4904
pcc_err,0.50,0,4904
pdc,0.50,0,4982
pcc_err,0.50,0,4983
pcc_err,0.50,0,4991
pdc,0.50,0,5000
pdc,0.50,0,5004
pdc,0.50,0,5005
pdc,0.50,0,5011
pcc_err,0.50,0,5022
pcc_err,0.50,0,5022
pcc_err,0.50,0,5022
pdc,0.50,0,5053
pcc_err,0.50,0,5054
pcc_err,0.50,0,5054
pcc_err,0.50,0,5054
pcc_err,0.50,0,5054
pcc_err,0.50,0,5086
pdc,0.50,0,5092
pcc_err,0.50,0,5093
pcc_err,0.50,0,5093
pcc_err,0.50,0,5093
pdc,0.50,0,5098
pdc,0.50,0,5099
pdc,0.50,0,5114
pcc_err,0.50,0,5115
pcc_err,0.50,0,5115
pcc_err,0.50,0,5130
pcc_err,0.50,0,5130
pcc_err,0.50,0,5130
pdc,0.50,0,5138
pdc,0.50,0,5140
pcc_err,0.50,0,5146
pcc_err,0.50,0,5169
pdc,0.50,0,5171
pcc_err,0.50,0,5172
pcc_err,0.50,0,5177
pcc_err,0.50,0,5177
pcc_err,0.50,0,5185
pcc_err,0.50,0,5185
pdc,0.50,0,5192
pdc,0.50,0,5198
pdc,0.50,0,5199
pcc_err,0.50,0,5200
pdc,0.50,0,5207
pcc_err,0.50,0,5208
pdc,0.50,0,5210
pcc_err,0.50,0,5211
pdc,0.50,0,5215
pdc,0.50,0,5224
pcc_err,0.50,0,5225
pcc_err,0.50,0,5225
pdc,0.50,0,5238
pcc_err,0.50,0,5239
pdc,0.50,0,5276
pdc,0.50,0,5278
pcc_err,0.50,0,5285
pcc_err,0.50,0,5285
pcc_err,0.50,0,5285
pdc,0.50,0,5298
pdc,0.50,0,5315
pcc_err,0.50,0,5319
pcc_err,0.50,0,5319
pcc_err,0.50,0,5319
pcc_err,0.50,0,5319
pdc,0.50,0,5325
pdc,0.50,0,5326
pdc,0.50,0,5338
pdc,0.50,0,5340
pdc,0.50,0,5355
pcc_err,0.50,0,5380
pcc_err,0.50,0,5380
pdc,0.50,0,5386
pcc_err,0.50,0,5389
pcc_err,0.50,0,5389
pdc,0.50,0,5393
pcc_err,0.50,0,5394
pdc,0.50,0,5410
pcc_err,0.50,0,5411
pcc_err,0.50,0,5411
pdc,0.50,0,5466
pdc,0.50,0,5471
pcc_err,0.50,0,5479
pcc_err,0.50,0,5482
pcc_err,0.50,0,5482
pdc,0.50,0,5493
pcc_err,0.50,0,5494
pdc,0.50,0,5495
pdc,0.50,0,5518
pcc_err,0.50,0,5528
pdc,0.50,0,5539
pcc_err,0.50,0,5540
pdc,0.50,0,5553
pdc,0.50,0,5554
pcc_err,0.50,0,5555
pcc_err,0.50,0,5555
pcc_err,0.50,0,5555
pdc,0.50,0,5564
pcc_err,0.50,0,5577
pcc_err,0.50,0,5586
pcc_err,0.50,0,5586
pcc_err,0.50,0,5612
pcc_err,0.50,0,5612
pdc,0.50,0,5621
pcc_err,0.50,0,5622
pdc,0.50,0,5624
pdc,0.50,0,5634
pcc_err,0.50,0,5657
pcc_err,0.50,0,5666
pdc,0.50,0,5670
pdc,0.50,0,5684
pdc,0.50,0,5697
pcc_err,0.50,0,5698
pcc_err,0.50,0,5698
pcc_err,0.50,0,5698
pdc,0.50,0,5707
pcc_err,0.50,0,5708
pdc,0.50,0,5710
pdc,0.50,0,5711
pdc,0.50,0,5712
pcc_err,0.50,0,5746
pcc_err,0.50,0,5749
pcc_err,0.50,0,5749
pdc,0.50,0,5758
pcc_err,0.50,0,5759
pdc,0.50,0,5762
pcc_err,0.50,0,5763
pcc_err,0.50,0,5763
pcc_err,0.50,0,5771
pdc,0.50,0,5777
pcc_err,0.50,0,5778
pcc_err,0.50,0,5787
pdc,0.50,0,5794
pcc_err,0.50,0,5796
pdc,0.50,0,5797
pdc,0.50,0,5798
pcc_err,0.50,0,5799
pdc,0.50,0,5802
pcc_err,0.50,0,5803
pdc,0.50,0,5807
pcc_err,0.50,0,5811
pdc,0.50,0,5823
pcc_err,0.50,0,5824
pcc_err,0.50,0,5824
pcc_err,0.50,0,5831
pcc_err,0.50,0,5831
pcc_err,0.50,0,5831
pcc_err,0.50,0,5831
pdc,0.50,0,5841
pcc_err,0.50,0,5845
pdc,0.50,0,5849
pcc_err,0.50,0,5859
pdc,0.50,0,5870
pcc_err,0.50,0,5873
pcc_err,0.50,0,5873
pcc_err,0.50,0,5880
pcc_err,0.50,0,5880
pcc_err,0.50,0,5880
pdc,0.50,0,5891
pcc_err,0.50,0,5896
pcc_err,0.50,0,5896
pdc,0.50,0,5902
pcc_err,0.50,0,5903
pcc_err,0.50,0,5903
pcc_err,0.50,0,5909
pdc,0.50,0,5920
pcc_err,0.50,0,5921
pcc_err,0.50,0,5934
pcc_err,0.50,0,5934
pcc_err,0.50,0,5934
pcc_err,0.50,0,5952
pcc_err,0.50,0,5952
pcc_err,0.50,0,5952
pdc,0.50,0,5956
pdc,0.50,0,5958
pcc_err,0.50,0,5959
pdc,0.50,0,5961
pdc,0.50,0,5962
pdc,0.50,0,5963
pcc_err,0.50,0,5964
pcc_err,0.50,0,5964
pcc_err,0.50,0,5970
pdc,0.50,0,5990
